stars,business_id,user_id
4.0,The Kilted Buffalo Langtree,93mELfY42M5v1U8XaiakyQ
4.0,Eyebrows R US,Q9x-MEp8Yx5QG78lU_f2mA
2.0,Spectacle,Rpte0RqdLf2nb7BnEEz72w
1.0,Dulce Alterations,UsJ9J1MVgCQLerr7qb95IQ
4.0,Spectacle,Mq6w4Jm_ZHDBsAmXp_DxEg
3.0,Vintage 95,j1ob4iyJRTmR8S-6KzUvUw
5.0,Laura Saucedo 702,AhZFLXh9qYR2sm_t6EsHPg
3.0,Park Road Books,ei0HDugfhZ2SIqzym7QQog
2.0,Sonoma Village,7VsihmrVZJzUSL_VqjEfzA
3.0,Manzetti's Tavern,CpH7btJ7NYuo0-aCDeuvuw
1.0,Auto Glass 2020,ZErRg_qj5CGgzs-57bnA8A
3.0,Forrest & Forrest Family Dentistry,vOAZWoaVySPXn5MmWCIrSw
1.0,Glenn Animal Care Hospital,l7sZTLRUBK0k3xjRTj1CSA
2.0,Holiday Inn Express & Suites Pittsburgh Sw - Southpointe,8f5kGOQDFd8Evxcd8phJKw
2.0,Glenn Animal Care Hospital,O5IPoolTMnBBNf5XfpgINQ
5.0,Starbucks,pICsYDAKhH6lno1A-UsBKQ
4.0,Uncle Otis Clothing,reVbfrwB_i-_eTkLqZ_5Yg
5.0,Nice One Nails,qXWvvpXvu_Qk5zw2TpG4Mw
2.0,The Phoenix Lodge,NDhDMKqSiBc0L06jKlFnmg
3.0,Howlers Craft Burgers & Beer,AUW3WPtO93TVYYH2zFRE3g
2.0,Winners,e2LtHijFAXy4RNTDL5IELw
1.0,The Steady Cafe & Bar,J9jxDkh2cMkL2AoM3E9HoQ
2.0,Dunn-Edwards Paints,ZVWJJnaWs5i8KxG18XzRIw
3.0,Vals Getaway DES Cafeteria,AvC5XQAElcGAAn_Wr5auEg
3.0,Tomkins Park,wL2pP0qCbRmML_SMeic1vQ
4.0,Maurices,ZnVUAj_0cQmLAXyMpdxKtQ
1.0,Fine Asian Bowl,J2DrQYwJpnDlunOpbwRMaw
5.0,The Spoke Easy,ctlIFB-YdllgSEnMLDEKIg
3.0,enVoqueMD,l7sZTLRUBK0k3xjRTj1CSA
5.0,Dunn-Edwards Paints,T2YYLWJGu1in2siQu-1unw
5.0,Mai Thai II,93mELfY42M5v1U8XaiakyQ
3.0,Cruisers Bar and Grill,Lk9qQYI0nE60IXvmcq1Vqw
2.0,Scottsdale Cab Company,SUh9lonnEUYJ3AgIt07KcQ
4.0,Brian's Furniture,i7OIMMhUD6IbKEhdmSdIaA
4.0,Marco's Pizza,o7oDOkJMky50DpaQ4-D5wg
2.0,Digital One,T5I9fwtXinCgUv92gFJ4gQ
2.0,Scottsdale Cab Company,U1vl4SQzO3wTAWlYVnSjnw
4.0,Tiffany & Co - Forum Shops at Caesar's Palace,Z9ipC7j4nWyyuNus_fcoYQ
1.0,Brilliance New York,z3oqtRSAR9abuuBF_Cj7Bg
2.0,Club Red,vOAZWoaVySPXn5MmWCIrSw
5.0,The UPS Store,zocuwB359woyJaUnV6Ydjw
4.0,M Catering by Michael's,3vr42-TF3V31LrN5sAFbDQ
2.0,Wendy's,AIgS-xHC1YL-cobhQkMjFA
1.0,Medium Rare,8A0ilt5aTN-dO2_7wyQakA
1.0,J's Fish & Chips,J6XspsHlrADTCzhFUGrHyA
2.0,Renters Warehouse,5KZS8cmUhoGTSjxY8aWwLA
1.0,Bolt Fresh Bar,MW4w71HMcOXDlL88uCuMfw
1.0,Venetian Nail Spa,ua6erRzbbgOAqUs49J96Sg
5.0,Ogden Funeral Homes,43Q7K9hHzUARJ050SpcCgA
1.0,Today's Market,A5NSs4GjWc0PideI8Hw9xw
1.0,Starbucks,VyomVR5I3VQOpNRNAqkB-g
2.0,Apteka,Rdric7cZ3E_OnLTYd45yTA
4.0,Aroma Espresso Bar,xZ-Np5I3hiOQdlkjn77IgA
4.0,Wendy's,Z1fpubHlmHeKY2dQBBbH9Q
2.0,Hanratty Law Group,xZ-Np5I3hiOQdlkjn77IgA
3.0,Options Salon & Spa,NUtVG7jNPLJR2cxMXMH2-A
2.0,Edgeworxx Studio,4Og9ygDT2WMTWA8Owlmdig
5.0,Bruster's Real Ice Cream,wxRo1SHYciMVDuI2bws0cg
1.0,Inspire! Dental,P2ZK_uDduvKbKgmNuyZQ4w
1.0,Glendale Care Center,UR9vG3PY54llUuqDE-tSEg
4.0,Apteka,ehYoutuEQcd9fsM6sQgMhQ
4.0,Radisson Hotel & Conference Centre Calgary Airport,Y8AnzqYWw8A2XQ36WHjtQw
1.0,Auto Glass 2020,uoj65cz5u8xEj8qvjLTxRg
1.0,The Estancia Club,H93EsZIkTfgZ4TjSM_9jUw
1.0,Holiday Inn Express & Suites Pittsburgh Sw - Southpointe,BkbrSQhSsC3McEhiEgLt0w
1.0,Cookie Cutters Haircuts for Kids,93mELfY42M5v1U8XaiakyQ
4.0,M Catering by Michael's,GGYG1LEKGQvwa0In89ROSQ
5.0,Not Your Mother,3G8sVd_Jo4G5qlpYUXJXuA
4.0,Fine Asian Bowl,rS1iWKRclwrR62TWkraEzQ
1.0,Ogden Funeral Homes,4suJsf9Q2uruOwKlnBixow
1.0,Club Red,gCSlX2tvG-M51Pok5WDmnw
5.0,Hunk Mansion,DZsbxvkYeIERJfGEMti4GA
2.0,Options Salon & Spa,RHSHgYCbOBxVIP2oQNfQ-A
5.0,AW Collision,Ee3QKlluVJXHF8Ba4nth7g
3.0,Amazing Cuts,TUbOiTPDiAXEzzUEyj22JA
1.0,Nothing Bundt Cakes,oF_vwmhGi-JechfnimM60Q
4.0,Bank of America,6KUA3-IfHoAhQ3FL2djQoQ
5.0,Winners,JVxnj0BKbMxY8NorB_oUPg
2.0,Carl's Jr,Lk9qQYI0nE60IXvmcq1Vqw
1.0,Forrest & Forrest Family Dentistry,Ggx8iUdJ7lsQSqXRuclXtg
4.0,So Cool Frozen Yogurt,JBten-VAVeO6lG89SfmCYg
5.0,Caffeine,4rl4WiP4hMM-xWT0_IbJmg
2.0,Glenn Animal Care Hospital,btPPPUNXDb7fvFNNuNKW_w
2.0,No. 1 Sushi Sushi,IiuCqi3k9HAl0gMkEDvrkg
4.0,Options Salon & Spa,Gwx32NcJ38tX9VkyzlnvNA
5.0,Tavolino,A5NSs4GjWc0PideI8Hw9xw
4.0,Daily Donut,Q9NlyapDA97_NA0qaq8w0A
5.0,Wendy's,GrTcwQfPTqkIEwwp4T6XYg
1.0,Salon Glow,h1VmuBcdVm3GBrHqyfRzQQ
5.0,Daily Donut,zSS9zNbiK7epPS1EvPOGYg
1.0,Radisson Hotel & Conference Centre Calgary Airport,IiuCqi3k9HAl0gMkEDvrkg
5.0,A&T Remodeling Stucco,btPPPUNXDb7fvFNNuNKW_w
5.0,Holiday Inn Express & Suites Pittsburgh Sw - Southpointe,E-F49aokwOCxGTf3cp_MXw
2.0,Sonoma Village,jIuqsBBMuDqkE4yDLnhlsQ
3.0,GiGi's Boutique Fine Consignment,vJGLEHyhCs9V-5fAe-xx3w
4.0,JJ's Red Hots - Dilworth,AIgS-xHC1YL-cobhQkMjFA
1.0,Fabulous Cakes and Confections Inc.,uQPAUzPM1XgBWTWkpgeGQQ
3.0,Kibo Sushi House,9fek8sBMCATlL4k0YwtFdg
2.0,Served,AIgS-xHC1YL-cobhQkMjFA
5.0,Maurices,PWSPlt5Oy1KRSWGjRg5tIg
2.0,GiGi's Boutique Fine Consignment,h-mI80xrPFwz4vF1BF2Ekw
1.0,Pitlane Auto Corp,qTcese4apYSlYZpSZyj6NA
5.0,Amazing Cuts,fRQUUAEDdFMJwSeIFTt3jA
4.0,SimonMed Imaging - Mesa Drive,Rpte0RqdLf2nb7BnEEz72w
2.0,Burrito Bandidos,VgSj3y98rnV0DKFHnLz_ag
1.0,North Mountain Medical & Rehabilitation Center,ehYoutuEQcd9fsM6sQgMhQ
5.0,Ross Dress for Less,ygsviXCO4piJTJ-SiD7PRw
2.0,Hot Yoga Wellness,Lk9qQYI0nE60IXvmcq1Vqw
4.0,Pearl Garden,jKjXmlOGZPxKTl_p38XyBg
5.0,The Estancia Club,H93EsZIkTfgZ4TjSM_9jUw
5.0,Nucleus Information Service,9fek8sBMCATlL4k0YwtFdg
1.0,Arizona Biltmore Golf Club,ehYoutuEQcd9fsM6sQgMhQ
5.0,The Estancia Club,gkTEP7ekRW62Zm4bveZBgA
5.0,MiraKuru,f0Awv9obo7lWZQhUh1C_KA
4.0,La Fortuna,0-7YOFpXNb2We2gaxXk5pA
1.0,Graphic Web Design,Zj665BfmiIWHHT-ZEuPVJA
2.0,enVoqueMD,Rpte0RqdLf2nb7BnEEz72w
3.0,Vic's Auto Repair,W1A8hFwXRFq0ld8DYBObqw
5.0,Hall Brent R DDS,awhAOe0FhEt-frk4_2D3XQ
5.0,Ohio Beer Garden,Js1FsZ6oP_9tO5tbJN-d2g
5.0,Cruisers Bar and Grill,6h7av3gS6ZKn_-fQ7KbPkw
3.0,Auto Glass 2020,jNkTR0QvQIomwIvb_C8Q8Q
1.0,A&T Remodeling Stucco,n2I95AzSGw41ihtqL3MLtg
3.0,Artisan Fine Dining Room,dJI1jy9llfqf7eQOCizijg
2.0,The Lounge Barber Shop,oGQnKOBNrwERM-MLLfpyGA
4.0,COCO Crafted Organic Chocolate,Q9NlyapDA97_NA0qaq8w0A
1.0,No. 1 Sushi Sushi,DVtzVhViJA-YTVUZAEXxbw
1.0,Vintage 95,la4Y5u_v7hcp2zpPqcya4Q
3.0,Torrid,y7gYGCAEHjqjw9FqeZKg7Q
1.0,Mai Thai II,NUtVG7jNPLJR2cxMXMH2-A
1.0,Gap,DVtzVhViJA-YTVUZAEXxbw
1.0,Holiday Inn Express & Suites Pittsburgh Sw - Southpointe,JBten-VAVeO6lG89SfmCYg
1.0,Burrito Bandidos,U1vl4SQzO3wTAWlYVnSjnw
3.0,No. 1 Sushi Sushi,zmXaJnK-a7FGRz1UbwAdMA
5.0,Imperial Asian Buffet,kxKL3lwgCHFzqMUnt37pkA
1.0,Winners,E-F49aokwOCxGTf3cp_MXw
4.0,Pearl Garden,dbEV32TkPPz2ar3OKh75EA
2.0,Graphic Web Design,rxhOsjh5kTFC7FAloTVgiQ
2.0,Yummy Yummy Chinese Restaurant,la4Y5u_v7hcp2zpPqcya4Q
5.0,Burrito Bandidos,9uo26LD_YsxCcta_JmCXcg
3.0,Pallucci,cbfivZddqFY3QBf3uZ-m8w
4.0,Funny Stop Comedy Club,Z9ipC7j4nWyyuNus_fcoYQ
5.0,Served,a04LRLmBMXa4jta2L3nkmw
1.0,Emerald Chinese Restaurant,7vyw57vXvZl1LAXK4vzQtA
1.0,Glendale Care Center,CUuqanXxU1yd9IEBCJ6dpg
2.0,Medium Rare,UsJ9J1MVgCQLerr7qb95IQ
4.0,Salt Cellar,5xLrRFjZ51J71ykb_QGQDw
1.0,Bank of America,SzKBlJiuEueWkrkFxaUpSQ
2.0,Pep Boys,zSS9zNbiK7epPS1EvPOGYg
4.0,Howlers Craft Burgers & Beer,AvC5XQAElcGAAn_Wr5auEg
3.0,Manzetti's Tavern,8WE7H_NvgM7V6IA7Ro3Prg
4.0,Aroma Espresso Bar,niv5a0a-hfEd4LpRYQaP4Q
4.0,Feast Buffet,YGlxqdYUz0XXaEhufs_aGA
2.0,Restaurant Nhu Y,kH0a5lXS-C638GtYZ-GBng
2.0,Artisan Fine Dining Room,CVHGjL2hx-EsAvnTHJayYQ
2.0,Taco Bell,eA8WqJj_15lWURDwE6DsKQ
1.0,So Cool Frozen Yogurt,R9TIWPBlMuzzWgYXZBnAlg
3.0,MiraKuru,sXeIJI3B28rZCFh1GJxbeA
2.0,J's Fish & Chips,OJycQI0TVQSN_785pzMH4g
1.0,Impressionz,yrOT9zMVvv4qFTffNtmt1A
3.0,All Star Donuts & Kolaches,RHSHgYCbOBxVIP2oQNfQ-A
3.0,Farmers Insurance - Paul Lorenz,ygkpsZ-JKp8p8hiX4PWx0w
2.0,Westwood Bar & Grill,0-7YOFpXNb2We2gaxXk5pA
5.0,Apteka,A5NSs4GjWc0PideI8Hw9xw
4.0,Little Caesars Pizza,WU7NJ-YfRDdsIpNtKjaDcg
2.0,Ross Dress for Less,0Qts8ew2yr8ImCwVZWy3UQ
1.0,Knot Salon,ca1hrwl6Uq1d8oX3hmpd8A
1.0,Bistro des Moulins,5BwurcGx34N6cJyDzMviJA
3.0,Spirit Apothecary,tv19nT_XYg0IpnskBpjv0A
1.0,Farmers Insurance - Paul Lorenz,Z1Ce1N6F7vw9pKnsv8MtRA
5.0,Farmers Insurance - Paul Lorenz,T2UA1nMIWwgdTfpRYo4lRQ
5.0,Served,3oGdFyU9xVYRrDpEcwAuvQ
2.0,Air Tech Plus,yW2Gn_SBeo4ZsfrXcxpfrw
1.0,Healthcare Partners Sunset,Ggx8iUdJ7lsQSqXRuclXtg
5.0,Impressionz,3GRPT_sAHgyJA9SHjUHVdQ
2.0,The Sweet Gallery,EOUq_p5XhVkF8U85AUJ1gg
3.0,Braseiro,ufauqkqDhO9FEh861_pTVw
1.0,Auto Glass 2020,VyomVR5I3VQOpNRNAqkB-g
5.0,The Lounge Barber Shop,YGlxqdYUz0XXaEhufs_aGA
4.0,The Phoenix Lodge,XNZI9wTcp-OYybJ5AnZ8Ww
3.0,The UPS Store,J6XspsHlrADTCzhFUGrHyA
1.0,Pine Village Apartments,jFrIxIfiuQaFuXl-9cp6RQ
4.0,Secrets de Femme,_ztetpb3iXrlo24E9pVH8A
5.0,Little Caesars Pizza,uoj65cz5u8xEj8qvjLTxRg
4.0,Hanratty Law Group,J6XspsHlrADTCzhFUGrHyA
3.0,Torrid,3oGdFyU9xVYRrDpEcwAuvQ
1.0,M Catering by Michael's,w1LtUhrC3Ww4SzKFHUYKfg
3.0,Renters Warehouse,OktfRbV9zJb4WoJafRMthQ
4.0,GiGi's Boutique Fine Consignment,4mMRwdR0iYkHAgfL1z6zFw
2.0,SimonMed Imaging - Mesa Drive,cgAhU-Vi4yV2ncQOf5ECZA
3.0,Charlotte Mecklenburg Library - Beatties Ford Road Regional,SzKBlJiuEueWkrkFxaUpSQ
5.0,Protection 1 Security Solutions,pVVvmkYQ11vfScY6YHE4ww
3.0,The UPS Store,O0R4hZgoqpDKxtYdUUZHxg
4.0,Southdown Chiropractic & Wellness,nipGPmPj966iLJQCf9P8tg
1.0,Eyebrows R US,uoj65cz5u8xEj8qvjLTxRg
5.0,Musashi Japanese Restaurant,4Og9ygDT2WMTWA8Owlmdig
5.0,Farmers Insurance - Paul Lorenz,kjYbPkrbgPMVUAjungJ4Aw
4.0,Supercuts,ca1hrwl6Uq1d8oX3hmpd8A
